sno,state,type,city,address,search_hit,match_source,top_result_title,top_result_link
1099,Maharashtra,Dispensary,Satara,"Old Civil Hospital, Satara",False,,,
1100,Maharashtra,Dispensary,Sangli,"Dispensary, ESIC, Rajwada Chowk, Sangli",False,,,
1101,Maharashtra,Dispensary,Solapur,"159/160, Laxmi peth Solapur",False,,,
1102,Maharashtra,Dispensary,Miraj,"Near kueur Hospital Apte Bakery, Railway Station Road Miraj",False,,,
1103,Maharashtra,Dispensary,Ichalkaranji,"INDUSTRIES STATE, ICHALKARANJI 416115, (DIST. KOHLAPUR)",False,,,
1104,Maharashtra,Dispensary,Barshi,"Jawahar Hospital compound, 1st Floor, Priyadarshani Maternity Hall, Barshi",False,,,
1105,Maharashtra,Dispensary,Aurangabad,"ESIS Dispensary no. 4, Near S.T. Workshop, Chikalthana, Aurangabad",False,,,
1106,Maharashtra,Dispensary,Aurangabad,"ESIS Dispensary no. 6, Near Mayuri Hoptal, Jalgaon road, N-11, Hadco, Aurangabad",False,,,
1107,Maharashtra,Dispensary,Aurangabad,"ESIS Dispensary no. 2, Khadkeshwar road, Mill Corner, Aurangabad - 431001",False,,,
1108,Maharashtra,Dispensary,Aurangabad,"ESIS Dispensary no. 1, Mahaveer Complex, Maharana Pratap Chowk, Bajaj nagar, Waluj, Aurangabad",False,,,
1109,Maharashtra,Dispensary,Dhule,Pratham building near church station road Dhule /424001,False,,,
1110,Maharashtra,Dispensary,Jalgaon,"ESIS Dispensary Amalner, P. Hasmaji Premji Shopping centre, opp. Mangalmurthi Patpedhi First floor, Amalner-425401",False,,,
1111,Maharashtra,Dispensary,Jalgaon,ESIS BHADGAON ROAD OPPOSIT. WANI MANGAL KARYALA INDUS BANK 1ST FLOOR CHALISGAON-DHULE 424101,False,,,
1112,Maharashtra,Dispensary,Jalgaon,"ESIS Dispensary No. 2, 20, Satgara Nagar, Near Tirupati Corner, Behind Ram Palace, Jalgaon-425003",False,,,
1113,Maharashtra,Dispensary,Jalgaon,"ESIS Dispensary No. 1, Plot No.3, Heera kamal, Opposite civil court Jilhapeth Jalgaon 425001",False,,,
1114,Maharashtra,Dispensary,Nanded,"Nanded, No 1 Dispensary, Dhanpalwar building, MID No.1, Cidco nanded 431601",True,nta.esic.gov.in,ESIC Dispensaries | Employees' State Insurance Corporation,https://nta.esic.gov.in/dispensaries
1115,Maharashtra,Dispensary,Nanded,"No.2 Dispensary, Narayanrao pandurangrao chennewar, building no 2-9/215, Somesh colone behind kailas mandir Nanded-431601",False,,,
